id 	 name
NCBIGene:80025 	 PANK2
NCBIGene:388939 	 PCARE
NCBIGene:65217 	 PCDH15
NCBIGene:5145 	 PDE6A
NCBIGene:5158 	 PDE6B
NCBIGene:5148 	 PDE6G
NCBIGene:79955 	 PDZD7
NCBIGene:5189 	 PEX1
NCBIGene:5192 	 PEX10
NCBIGene:8799 	 PEX11B
NCBIGene:5193 	 PEX12
NCBIGene:5194 	 PEX13
NCBIGene:5195 	 PEX14
NCBIGene:9409 	 PEX16
NCBIGene:5824 	 PEX19
NCBIGene:5828 	 PEX2
NCBIGene:55670 	 PEX26
NCBIGene:8504 	 PEX3
NCBIGene:5830 	 PEX5
NCBIGene:5190 	 PEX6
NCBIGene:5191 	 PEX7
NCBIGene:5264 	 PHYH
NCBIGene:5373 	 PMM2
NCBIGene:23126 	 POGZ
NCBIGene:55012 	 PPP2R3C
NCBIGene:768206 	 PRCD
NCBIGene:8842 	 PROM1
NCBIGene:9129 	 PRPF3
NCBIGene:26121 	 PRPF31
NCBIGene:9128 	 PRPF4
NCBIGene:24148 	 PRPF6
NCBIGene:10594 	 PRPF8
NCBIGene:5961 	 PRPH2
NCBIGene:5631 	 PRPS1
NCBIGene:5949 	 RBP3
NCBIGene:51109 	 RDH11
NCBIGene:92840 	 REEP6
NCBIGene:5995 	 RGR
NCBIGene:6010 	 RHO
NCBIGene:6017 	 RLBP1
NCBIGene:6094 	 ROM1
NCBIGene:6101 	 RP1
NCBIGene:6102 	 RP2
NCBIGene:6100 	 RP9
NCBIGene:6121 	 RPE65
NCBIGene:6103 	 RPGR
NCBIGene:6134 	 RPL10
NCBIGene:50484 	 RRM2B
NCBIGene:89765 	 RSPH1
NCBIGene:83861 	 RSPH3
NCBIGene:345895 	 RSPH4A
NCBIGene:221421 	 RSPH9
NCBIGene:6295 	 SAG
NCBIGene:10806 	 SDCCAG8
NCBIGene:64218 	 SEMA4A
NCBIGene:25970 	 SH2B1
NCBIGene:7355 	 SLC35A2
NCBIGene:57709 	 SLC7A14
NCBIGene:23020 	 SNRNP200
NCBIGene:6674 	 SPAG1
NCBIGene:79925 	 SPEF2
NCBIGene:79644 	 SRD5A3
NCBIGene:27148 	 STK36
NCBIGene:9894 	 TELO2
NCBIGene:91147 	 TMEM67
NCBIGene:10210 	 TOPORS
NCBIGene:26146 	 TRAF3IP1
NCBIGene:9319 	 TRIP13
NCBIGene:51095 	 TRNT1
NCBIGene:54970 	 TTC12
NCBIGene:123016 	 TTC8
NCBIGene:7287 	 TULP1
NCBIGene:10083 	 USH1C
NCBIGene:124590 	 USH1G
NCBIGene:7399 	 USH2A
NCBIGene:23078 	 VWA8
NCBIGene:10352 	 WARS2
NCBIGene:57728 	 WDR19
NCBIGene:25861 	 WHRN
NCBIGene:51364 	 ZMYND10
NCBIGene:79797 	 ZNF408
NCBIGene:130557 	 ZNF513
